sample_id	user_specimen_id	region
50	3070	Curacao
46	1834	USVI
44	1303	Florida
43	1302	Florida
58	13764	USVI
45	1667	Bahamas
61	13807	Belize
62	13913	Curacao
59	13778	Belize
60	13799	Belize
54	6779	Belize
55	6791	Belize
51	3071	Curacao
52	4062	USVI
53	5993	Belize
47	1835	USVI
48	1837	USVI
49	1839	USVI
56	8867	Belize
57	8939	Belize
42	14120	Florida
41	1012	Florida
4	4923	Florida
5	4927	Florida
6	4928	Florida
7	4959	Florida
8	4960	Florida
11	13696	USVI
13	13712	USVI
14	13714	USVI
15	13738	USVI
20	13758	USVI
22	13786	Belize
23	13792	Belize
24	13797	Belize
29	13827	Belize
30	13837	Belize
31	13901	Curacao
32	13903	Curacao
33	13905	Curacao
36	13917	Curacao
38	13925	Curacao
1	1037	Florida
2	2655	Florida
3	2699	Florida
9	5524	Florida
10	6895	Florida
12	13702	USVI
16	13740	USVI
17	13744	USVI
18	13750	USVI
19	13752	USVI
21	13784	Belize
25	13801	Belize
26	13813	Belize
27	13815	Belize
28	13819	Belize
34	13907	Curacao
35	13911	Curacao
37	13919	Curacao
39	13933	Curacao
40	13939	Curacao
